review_text,stars
"Meh.

Plus for cool decor. Minus for being in a strip mall (but hey it's Phoenix...)

Cinnamon Roll was good.  Awesome icing. Toluca Brizza was unique, but nothing spectacular.

it would be a good place for groups, with a vast menu (that i hear is very vegan friendly), but they are better places around town for brunch, both in terms of quality and price points.",3
"Very consistent, thin crust pizza, made with fresh ingredients and excellent cheese! The market place is lively and the atmosphere is festive!",4
While we were in Mesa AZ for a holiday we found Alessia's on Yelp and we are so glad we did. The food was delicious and the host was terrific as were the servers. We are not big wine drinkers but they have a very good selection of wines and the host knows his stuff and can make good recommendations. Nicely appointed little restaurant with a great menu.,5
"Exactly what a hole in the wall Pho place should be like! Totally reminds me of LA, SF or any authentic Pho place in any multi-cultural city. Congrats Phoenix for not being completely white bred and redneck- must give thanks to center city.

Anyhow, portions are large, ingredients taste fresh and prices are inexpensive. If you're one of the sheltered folk out here that gets freaked out by rude bums or the lack of decor- stay in the shelter of your HOA tract home or go to the mall.",5
"I used to work near here and we got take out a lot. 

My favorites: spinach enchiladas, green corn tamale, chicken mini chimis ( they come with a green chile cream cheese dip, OMG). 

I loved their tex mex spin, not authentic Mexican, mind you, but tasty. 

I can't speak to the service, I rarely went in to pick up, even... I'm one of those crafty people who can get others to do that, lol. 

I liked it though.",4
"We came here for lunch and were a little leery when we first walked in. I had the cream of leek soup, my mother had the sausage salad, and my aunt had the Greek salad and we were all very impressed. We took a bangers and mash pasty to go, but we are so full, that it'll be awhile before we can try it. The service was a little slow, but the quality of food and atmosphere made up for the inconvenience.",5
My daughter and I went in for pedicures and gel sets... was incredibly surprised to hear the total was $120. even with a coupon!!! When I got home I noticed that my pedicure wasn't the best... I really don't mind paying top dollar for top dollar services but even with a 'coupon' it wasn't worth it. Won't be back...,1
"Check-in was fast and quick and price was right for what it was. A big upgrade over a discount property and super close to the airport. It does resemble a different kind of hotel in that everything was outside, but the room was spacious and generally quiet. The morning breakfast was solid and the only real minus was the shuttle's delay; some of the hotels came twice in the time it took this one to show up once. But save for that...a more than adaquate experience for an overnight stay.",3
"Goddess got it right.  This place is pretty, and it looks so promising.  Big disappointment.   There was nothing for vegetarians.  The food was mediocre at best.  I'd choose Pho Nhat over this pretty restaurant any day.  Don't judge a book by its cover.  No good.",1
"The only plus to this place was that the bartenders are on their game, otherwise leave it for the Jersey Shore wannabes and slooters that get turned on by extra extra medium Tap Out t-shirts.",2
"Came here for my cousins rehersal dinner and the first dish out was the lobster bisque and it was one of the best things ive ever ate !!!!!! AMAZING, I could have ate 10 more bowls of this and forget the main dish.
the main dish i got some chicken dish that i dont remember that well. I do remember that it was over pasta and the pasta was great, 
I also had 2 GREAT dirty martinis ,",4
"Other than the ambiance of being a  Rock & Roll restauarnt, this place isn't good.  The food sucks.

I came in for a birthday party with 6 people, and not one of us actually enjoyed our food.  We had called ahead (2 weeks) to reserve a table before a game.  When we got there, the table had not even been set up.  We were 20 minutes later than planned getting to our table, and we missed 1 entire 1st inning and the top of the 2nd because it took so long to get our food.",2
"It's three stars because I don't know how to rate it -- I didn't think it was very good at all when I went the other night during their grand opening, but maybe I just don't have a taste for it.  Service was prompt and polite.  The food?  Eh.  I had one of the house specials.  I didn't think it was very special.  I do think the waiter deserves bonus points for talking me into a half order rather than a full order.  The lemon-lime beverage was strong and sweet.",3
This is probably one of my favorite spots in Oldtown.  I definitely enjoy the the Thai food here and plus the atmosphere is really chill and homey.  Service was never a problem here every time I go.  My favorite is the Basil Crispy CK....so simple to make but I love it.  Date place? Sure why not :),4
"This place is great. The Pizzas are single serving or post salad and some of the best Pizza Ive ever had. Salads are good and and service is excellent. 

Keep it Simple Stupid
KISS",4
